,pos,neg,sum,pos_pct
AAEN,2.0,,2.0,1.0
AAEO,1.0,,1.0,1.0
AAEP,18.0,3.0,21.0,0.8571428571428571
AAEQ,8.0,1.0,9.0,0.8888888888888888
AAER,1.0,,1.0,1.0
AAES,2.0,1.0,3.0,0.6666666666666666
AAEU,1.0,,1.0,1.0
AAEW,1.0,,1.0,1.0
AAEY,1.0,1.0,2.0,0.5
AAEZ,1.0,,1.0,1.0
AAF,3.0,,3.0,1.0
AAFA,1.0,,1.0,1.0
AAFB,2.0,1.0,3.0,0.6666666666666666
AAFC,2.0,1.0,3.0,0.6666666666666666
AAFD,1.0,,1.0,1.0
AAFE,2.0,,2.0,1.0
AAFG,2.0,,2.0,1.0
AAFH,3.0,4.0,7.0,0.42857142857142855
AAFI,15.0,2.0,17.0,0.8823529411764706
AAFJ,1.0,,1.0,1.0
AAFK,3.0,4.0,7.0,0.42857142857142855
AAFL,2.0,,2.0,1.0
AAFM,,1.0,1.0,
AAFN,,1.0,1.0,
AAFQ,1.0,1.0,2.0,0.5
AAFR,2.0,,2.0,1.0
AAFU,1.0,,1.0,1.0
AAFW,8.0,,8.0,1.0
AAFX,2.0,,2.0,1.0
AAFY,1.0,,1.0,1.0
AAFZ,17.0,5.0,22.0,0.7727272727272727
AAG,10.0,5.0,15.0,0.6666666666666666
AAGA,2.0,3.0,5.0,0.4
AAGB,,1.0,1.0,
AAGD,3.0,,3.0,1.0
AAGG,3.0,1.0,4.0,0.75
AAGH,1.0,,1.0,1.0
AAGJ,,1.0,1.0,
AAGL,9.0,2.0,11.0,0.8181818181818182
AAGO,4.0,1.0,5.0,0.8
AAGP,3.0,,3.0,1.0
AAGR,,2.0,2.0,
AAGS,1.0,,1.0,1.0
AAGT,,2.0,2.0,
AAGU,1.0,,1.0,1.0
AAGW,88.0,34.0,122.0,0.7213114754098361
AAGY,6.0,1.0,7.0,0.8571428571428571
AAGZ,14.0,8.0,22.0,0.6363636363636364
AAH,7.0,4.0,11.0,0.6363636363636364
AAHB,,3.0,3.0,
AAHC,1.0,,1.0,1.0
AAHE,3.0,2.0,5.0,0.6
AAHF,21.0,5.0,26.0,0.8076923076923077
AAHG,,1.0,1.0,
AAHH,9.0,1.0,10.0,0.9
AAHI,1.0,,1.0,1.0
AAHJ,21.0,5.0,26.0,0.8076923076923077
AAHK,10.0,,10.0,1.0
AAHL,,2.0,2.0,
AAHM,5.0,,5.0,1.0
AAHO,2.0,,2.0,1.0
AAHP,,1.0,1.0,
AAHQ,12.0,5.0,17.0,0.7058823529411765
AAHR,1.0,,1.0,1.0
AAHS,2.0,,2.0,1.0
AAHT,1.0,,1.0,1.0
AAHW,3.0,,3.0,1.0
AAHX,24.0,4.0,28.0,0.8571428571428571
AAHY,2.0,,2.0,1.0
AAHZ,2.0,1.0,3.0,0.6666666666666666
AAI,2.0,2.0,4.0,0.5
AAIA,1.0,,1.0,1.0
AAIB,,2.0,2.0,
AAIE,1.0,,1.0,1.0
AAIF,8.0,3.0,11.0,0.7272727272727273
AAIG,1.0,,1.0,1.0
AAIH,3.0,5.0,8.0,0.375
AAIL,7.0,2.0,9.0,0.7777777777777778
AAIM,13.0,6.0,19.0,0.6842105263157895
AAIN,1.0,,1.0,1.0
AAIP,1.0,,1.0,1.0
AAIQ,,1.0,1.0,
AAIR,1.0,,1.0,1.0
AAIS,2.0,,2.0,1.0
AAIU,1.0,,1.0,1.0
AAIV,10.0,2.0,12.0,0.8333333333333334
AAIW,4.0,,4.0,1.0
AAIX,1.0,,1.0,1.0
AAIY,1.0,,1.0,1.0
AAIZ,1.0,1.0,2.0,0.5
AAJ,,1.0,1.0,
AAJA,3.0,,3.0,1.0
AAJD,2.0,,2.0,1.0
AAJE,2.0,1.0,3.0,0.6666666666666666
AAJG,2.0,,2.0,1.0
AAJH,1.0,,1.0,1.0
AAJI,1.0,,1.0,1.0
AAJM,19.0,5.0,24.0,0.7916666666666666
AAJN,1.0,,1.0,1.0
AAJO,3.0,,3.0,1.0
AAJP,15.0,1.0,16.0,0.9375
AAJQ,,1.0,1.0,
AAJR,5.0,2.0,7.0,0.7142857142857143
AAJS,2.0,,2.0,1.0
AAJT,1.0,1.0,2.0,0.5
AAJU,,1.0,1.0,
AAJV,28.0,12.0,40.0,0.7
AAJW,2.0,,2.0,1.0
AAJX,,1.0,1.0,
AAJY,3.0,2.0,5.0,0.6
AAJZ,1.0,,1.0,1.0
AAK,1.0,1.0,2.0,0.5
AAKA,2.0,4.0,6.0,0.3333333333333333
AAKB,2.0,,2.0,1.0
AAKC,1.0,,1.0,1.0
AAKD,2.0,,2.0,1.0
AAKE,1.0,,1.0,1.0
AAKG,41.0,22.0,63.0,0.6507936507936508
AAKH,11.0,7.0,18.0,0.6111111111111112
AAKJ,1.0,,1.0,1.0
AAKL,1.0,,1.0,1.0
AAKM,1.0,,1.0,1.0
AAKO,1.0,,1.0,1.0
AAKP,7.0,1.0,8.0,0.875
AAKQ,1.0,,1.0,1.0
AAKR,2.0,,2.0,1.0
AAKS,,1.0,1.0,
AAKV,1.0,,1.0,1.0
AAKW,7.0,2.0,9.0,0.7777777777777778
AAKX,4.0,,4.0,1.0
AAKY,1.0,,1.0,1.0
AAKZ,2.0,1.0,3.0,0.6666666666666666
AAL,16.0,2.0,18.0,0.8888888888888888
AALA,4.0,3.0,7.0,0.5714285714285714
AALB,5.0,2.0,7.0,0.7142857142857143
AALC,1.0,1.0,2.0,0.5
AALD,1.0,,1.0,1.0
AALE,,1.0,1.0,
AALF,2.0,,2.0,1.0
AALG,6.0,3.0,9.0,0.6666666666666666
AALH,5.0,1.0,6.0,0.8333333333333334
AALJ,,1.0,1.0,
AALK,,2.0,2.0,
AALM,5.0,2.0,7.0,0.7142857142857143
AALN,3.0,,3.0,1.0
AALO,5.0,,5.0,1.0
AALP,,1.0,1.0,
AALQ,2.0,,2.0,1.0
AALR,18.0,11.0,29.0,0.6206896551724138
AALT,1.0,,1.0,1.0
AALU,,1.0,1.0,
AALV,,3.0,3.0,
AALY,1.0,,1.0,1.0
AALZ,19.0,5.0,24.0,0.7916666666666666
AAM,22.0,7.0,29.0,0.7586206896551724
AAMA,3.0,,3.0,1.0
AAMB,3.0,1.0,4.0,0.75
AAMD,1.0,,1.0,1.0
AAME,2.0,1.0,3.0,0.6666666666666666
AAMF,16.0,5.0,21.0,0.7619047619047619
AAMG,3.0,1.0,4.0,0.75
AAMH,1.0,,1.0,1.0
AAMI,2.0,,2.0,1.0
AAMJ,6.0,5.0,11.0,0.5454545454545454
AAMK,1.0,,1.0,1.0
AAML,6.0,1.0,7.0,0.8571428571428571
AAMN,1.0,2.0,3.0,0.3333333333333333
AAMP,,3.0,3.0,
AAMQ,1.0,,1.0,1.0
AAMR,3.0,,3.0,1.0
AAMS,8.0,1.0,9.0,0.8888888888888888
AAMT,1.0,,1.0,1.0
AAMW,1.0,,1.0,1.0
AAMX,1.0,1.0,2.0,0.5
AAMY,2.0,,2.0,1.0
AAMZ,1.0,,1.0,1.0
AAN,18.0,8.0,26.0,0.6923076923076923
AANA,5.0,1.0,6.0,0.8333333333333334
AANC,2.0,,2.0,1.0
AAND,21.0,2.0,23.0,0.9130434782608695
AANE,1.0,1.0,2.0,0.5
AANF,1.0,,1.0,1.0
AANG,4.0,1.0,5.0,0.8
AANI,4.0,3.0,7.0,0.5714285714285714
AANJ,7.0,4.0,11.0,0.6363636363636364
AANK,1.0,,1.0,1.0
AANL,1.0,,1.0,1.0
AANM,2.0,,2.0,1.0
AANN,6.0,3.0,9.0,0.6666666666666666
AANO,1.0,2.0,3.0,0.3333333333333333
AANP,4.0,6.0,10.0,0.4
AANQ,1.0,,1.0,1.0
AANS,2.0,,2.0,1.0
AANT,2.0,,2.0,1.0
AANU,1.0,,1.0,1.0
AANV,1.0,1.0,2.0,0.5
AANX,3.0,,3.0,1.0
AANY,5.0,2.0,7.0,0.7142857142857143
AANZ,3.0,,3.0,1.0
AAO,17.0,2.0,19.0,0.8947368421052632
AAOA,,1.0,1.0,
AAOB,,1.0,1.0,
AAOC,20.0,4.0,24.0,0.8333333333333334
AAOE,2.0,,2.0,1.0
AAOF,2.0,,2.0,1.0
AAOG,3.0,,3.0,1.0
AAOH,4.0,2.0,6.0,0.6666666666666666
AAOI,1.0,,1.0,1.0
AAOJ,4.0,,4.0,1.0
AAOL,2.0,,2.0,1.0
AAOM,1.0,1.0,2.0,0.5
AAON,1.0,,1.0,1.0
AAOO,,1.0,1.0,
AAOP,1.0,,1.0,1.0
AAOQ,1.0,,1.0,1.0
AAOR,,1.0,1.0,
AAOV,2.0,,2.0,1.0
AAOX,2.0,,2.0,1.0
AAOY,1.0,,1.0,1.0
AAOZ,7.0,1.0,8.0,0.875
AAP,6.0,2.0,8.0,0.75
AAPA,1.0,,1.0,1.0
AAPB,1.0,,1.0,1.0
AAPF,47.0,13.0,60.0,0.7833333333333333
AAPG,1.0,,1.0,1.0
AAPH,4.0,1.0,5.0,0.8
AAPI,1.0,,1.0,1.0
AAPK,19.0,8.0,27.0,0.7037037037037037
AAPL,1.0,,1.0,1.0
AAPM,3.0,,3.0,1.0
AAPN,1.0,,1.0,1.0
AAPO,1.0,,1.0,1.0
AAPP,123.0,41.0,164.0,0.75
AAPQ,,1.0,1.0,
AAPS,1.0,,1.0,1.0
AAPT,1.0,,1.0,1.0
AAPU,2.0,,2.0,1.0
AAPV,8.0,2.0,10.0,0.8
AAPW,,1.0,1.0,
AAPX,1.0,,1.0,1.0
AAPY,,3.0,3.0,
AAPZ,7.0,,7.0,1.0
AAQ,3.0,1.0,4.0,0.75
AAQA,7.0,2.0,9.0,0.7777777777777778
AAQB,2.0,1.0,3.0,0.6666666666666666
AAQC,1.0,,1.0,1.0
AAQD,3.0,4.0,7.0,0.42857142857142855
AAQE,50.0,17.0,67.0,0.746268656716418
AAQF,3.0,,3.0,1.0
AAQG,1.0,,1.0,1.0
AAQH,1.0,,1.0,1.0
AAQL,1.0,,1.0,1.0
AAQM,1.0,,1.0,1.0
AAQN,1.0,,1.0,1.0
AAQP,1.0,,1.0,1.0
AAQQ,40.0,6.0,46.0,0.8695652173913043
AAQT,1.0,,1.0,1.0
AAQU,2.0,,2.0,1.0
AAQV,3.0,,3.0,1.0
AAQW,1.0,,1.0,1.0
AAQY,,3.0,3.0,
AAQZ,2.0,,2.0,1.0
AAR,4.0,,4.0,1.0
AARA,1.0,,1.0,1.0
AARB,1.0,,1.0,1.0
AARC,3.0,1.0,4.0,0.75
AARD,4.0,1.0,5.0,0.8
AARF,13.0,5.0,18.0,0.7222222222222222
AARG,,1.0,1.0,
AARH,1.0,,1.0,1.0
AARI,,2.0,2.0,
AARJ,26.0,5.0,31.0,0.8387096774193549
AARL,,1.0,1.0,
AARM,5.0,1.0,6.0,0.8333333333333334
AARO,1.0,,1.0,1.0
AARP,1.0,,1.0,1.0
AARQ,10.0,2.0,12.0,0.8333333333333334
AART,1.0,,1.0,1.0
AARU,1.0,,1.0,1.0
AARX,4.0,,4.0,1.0
AAS,1.0,2.0,3.0,0.3333333333333333
AASA,20.0,7.0,27.0,0.7407407407407407
AASB,4.0,,4.0,1.0
AASC,6.0,,6.0,1.0
AASD,10.0,,10.0,1.0
AASF,6.0,3.0,9.0,0.6666666666666666
AASH,1.0,,1.0,1.0
AASJ,1.0,,1.0,1.0
AASK,1.0,,1.0,1.0
AASL,1.0,,1.0,1.0
AASM,10.0,1.0,11.0,0.9090909090909091
AASN,1.0,,1.0,1.0
AASO,1.0,,1.0,1.0
AASP,1.0,,1.0,1.0
AASQ,,2.0,2.0,
AASR,2.0,1.0,3.0,0.6666666666666666
AAST,3.0,3.0,6.0,0.5
AASW,2.0,1.0,3.0,0.6666666666666666
AASX,1.0,,1.0,1.0
AASY,2.0,,2.0,1.0
AASZ,4.0,1.0,5.0,0.8
AAT,5.0,6.0,11.0,0.45454545454545453
AATA,2.0,,2.0,1.0
AATC,12.0,7.0,19.0,0.631578947368421
AATD,8.0,1.0,9.0,0.8888888888888888
AATE,3.0,,3.0,1.0
AATF,2.0,,2.0,1.0
AATG,1.0,,1.0,1.0
AATI,,1.0,1.0,
AATJ,,2.0,2.0,
AATK,3.0,,3.0,1.0
AATL,1.0,,1.0,1.0
AATM,7.0,1.0,8.0,0.875
AATN,2.0,1.0,3.0,0.6666666666666666
AATP,1.0,,1.0,1.0
AATQ,1.0,,1.0,1.0
AATS,13.0,2.0,15.0,0.8666666666666667
AATU,2.0,,2.0,1.0
AATV,1.0,,1.0,1.0
AATW,3.0,,3.0,1.0
AATX,5.0,3.0,8.0,0.625
AATY,6.0,3.0,9.0,0.6666666666666666
AATZ,2.0,,2.0,1.0
AAU,5.0,3.0,8.0,0.625
AAUA,1.0,,1.0,1.0
AAUB,3.0,,3.0,1.0
AAUC,2.0,,2.0,1.0
AAUD,4.0,1.0,5.0,0.8
AAUE,1.0,,1.0,1.0
AAUF,2.0,1.0,3.0,0.6666666666666666
AAUG,4.0,,4.0,1.0
AAUH,48.0,7.0,55.0,0.8727272727272727
AAUI,1.0,,1.0,1.0
AAUJ,1.0,,1.0,1.0
AAUK,1.0,,1.0,1.0
AAUL,,3.0,3.0,
AAUM,2.0,2.0,4.0,0.5
AAUN,1.0,,1.0,1.0
AAUO,2.0,,2.0,1.0
AAUP,2.0,1.0,3.0,0.6666666666666666
AAUQ,,1.0,1.0,
AAUR,1.0,,1.0,1.0
AAUS,1.0,2.0,3.0,0.3333333333333333
AAUT,2.0,,2.0,1.0
AAUU,1.0,2.0,3.0,0.3333333333333333
AAUV,1.0,,1.0,1.0
AAUW,39.0,12.0,51.0,0.7647058823529411
AAUY,6.0,2.0,8.0,0.75
AAUZ,23.0,13.0,36.0,0.6388888888888888
AAV,1.0,2.0,3.0,0.3333333333333333
AAVA,,1.0,1.0,
AAVB,1.0,1.0,2.0,0.5
AAVD,8.0,2.0,10.0,0.8
AAVE,1.0,,1.0,1.0
AAVG,1.0,,1.0,1.0
AAVH,,1.0,1.0,
AAVI,,1.0,1.0,
AAVJ,1.0,,1.0,1.0
AAVK,4.0,2.0,6.0,0.6666666666666666
AAVL,5.0,,5.0,1.0
AAVM,3.0,,3.0,1.0
AAVN,3.0,,3.0,1.0
AAVO,1.0,,1.0,1.0
AAVP,2.0,1.0,3.0,0.6666666666666666
AAVQ,,1.0,1.0,
AAVS,3.0,1.0,4.0,0.75
AAVT,6.0,1.0,7.0,0.8571428571428571
AAVU,1.0,,1.0,1.0
AAVV,1.0,,1.0,1.0
AAVW,,1.0,1.0,
AAVX,3.0,2.0,5.0,0.6
AAVY,7.0,,7.0,1.0
AAVZ,4.0,,4.0,1.0
AAW,20.0,6.0,26.0,0.7692307692307693
AAWA,1.0,,1.0,1.0
AAWB,8.0,2.0,10.0,0.8
AAWD,4.0,1.0,5.0,0.8
AAWE,6.0,1.0,7.0,0.8571428571428571
AAWG,9.0,,9.0,1.0
AAWH,2.0,1.0,3.0,0.6666666666666666
AAWI,14.0,,14.0,1.0
AAWJ,1.0,,1.0,1.0
AAWK,7.0,,7.0,1.0
AAWM,29.0,10.0,39.0,0.7435897435897436
AAWN,5.0,4.0,9.0,0.5555555555555556
AAWO,4.0,,4.0,1.0
AAWP,2.0,,2.0,1.0
AAWQ,1.0,1.0,2.0,0.5
AAWR,1.0,,1.0,1.0
AAWS,4.0,4.0,8.0,0.5
AAWT,1.0,,1.0,1.0
AAWU,2.0,1.0,3.0,0.6666666666666666
AAWX,2.0,,2.0,1.0
AAWY,3.0,,3.0,1.0
AAWZ,2.0,3.0,5.0,0.4
AAX,7.0,3.0,10.0,0.7
AAXC,1.0,,1.0,1.0
AAXD,2.0,,2.0,1.0
AAXE,5.0,2.0,7.0,0.7142857142857143
AAXG,1.0,,1.0,1.0
AAXH,2.0,,2.0,1.0
AAXJ,1.0,1.0,2.0,0.5
AAXL,,1.0,1.0,
AAXM,1.0,,1.0,1.0
AAXN,2.0,,2.0,1.0
AAXP,,1.0,1.0,
AAXR,3.0,,3.0,1.0
AAXS,5.0,2.0,7.0,0.7142857142857143
AAXT,3.0,,3.0,1.0
AAXU,1.0,,1.0,1.0
AAXV,8.0,2.0,10.0,0.8
AAXW,1.0,,1.0,1.0
AAXX,4.0,1.0,5.0,0.8
AAXY,1.0,,1.0,1.0
AAXZ,,2.0,2.0,
AAY,,1.0,1.0,
AAYB,,1.0,1.0,
AAYE,1.0,2.0,3.0,0.3333333333333333
AAYF,2.0,,2.0,1.0
AAYG,2.0,,2.0,1.0
AAYH,1.0,,1.0,1.0
AAYI,1.0,,1.0,1.0
AAYJ,1.0,,1.0,1.0
AAYK,1.0,,1.0,1.0
AAYM,5.0,1.0,6.0,0.8333333333333334
AAYO,,1.0,1.0,
AAYP,2.0,,2.0,1.0
AAYQ,1.0,3.0,4.0,0.25
AAYR,5.0,3.0,8.0,0.625
AAYS,1.0,,1.0,1.0
AAYT,5.0,1.0,6.0,0.8333333333333334
AAYU,2.0,,2.0,1.0
AAYV,,1.0,1.0,
AAYW,1.0,,1.0,1.0
AAYX,,2.0,2.0,
AAYY,1.0,,1.0,1.0
AAZ,,1.0,1.0,
AAZA,8.0,9.0,17.0,0.47058823529411764
AAZB,1.0,1.0,2.0,0.5
AAZC,,1.0,1.0,
AAZD,5.0,,5.0,1.0
AAZF,1.0,,1.0,1.0
AAZG,1.0,,1.0,1.0
AAZH,1.0,,1.0,1.0
AAZI,2.0,,2.0,1.0
AAZJ,,1.0,1.0,
AAZK,2.0,,2.0,1.0
AAZL,1.0,,1.0,1.0
AAZM,3.0,,3.0,1.0
AAZP,,1.0,1.0,
AAZR,4.0,,4.0,1.0
AAZS,1.0,1.0,2.0,0.5
AAZT,3.0,,3.0,1.0
AAZU,8.0,2.0,10.0,0.8
AAZV,,1.0,1.0,
AAZW,1.0,,1.0,1.0
AAZX,5.0,,5.0,1.0
AAZY,3.0,2.0,5.0,0.6
AAZZ,1.0,,1.0,1.0
AB,1.0,,1.0,1.0
ABA,2.0,2.0,4.0,0.5
ABAD,1.0,1.0,2.0,0.5
ABAE,1.0,,1.0,1.0
ABAF,,1.0,1.0,
ABAH,5.0,,5.0,1.0
ABAI,13.0,2.0,15.0,0.8666666666666667
ABAJ,1.0,,1.0,1.0
ABAK,2.0,,2.0,1.0
ABAL,4.0,2.0,6.0,0.6666666666666666
ABAM,6.0,,6.0,1.0
ABAO,9.0,,9.0,1.0
ABAP,16.0,,16.0,1.0
ABAQ,1.0,,1.0,1.0
ABAS,1.0,,1.0,1.0
ABAT,1.0,1.0,2.0,0.5
ABAU,1.0,,1.0,1.0
ABAV,1.0,,1.0,1.0
ABAW,1.0,,1.0,1.0
ABAZ,1.0,,1.0,1.0
ABB,5.0,1.0,6.0,0.8333333333333334
ABBA,1.0,,1.0,1.0
ABBB,,1.0,1.0,
ABBC,6.0,,6.0,1.0
ABBD,3.0,2.0,5.0,0.6
ABBE,1.0,,1.0,1.0
ABBF,2.0,,2.0,1.0
ABBH,2.0,,2.0,1.0
ABBI,1.0,,1.0,1.0
ABBJ,25.0,3.0,28.0,0.8928571428571429
ABBK,1.0,1.0,2.0,0.5
ABBM,1.0,,1.0,1.0
ABBN,2.0,3.0,5.0,0.4
ABBO,1.0,,1.0,1.0
ABBP,1.0,1.0,2.0,0.5
ABBR,2.0,,2.0,1.0
ABBT,4.0,,4.0,1.0
ABBU,1.0,,1.0,1.0
ABBV,,1.0,1.0,
ABBW,2.0,,2.0,1.0
ABBX,,1.0,1.0,
ABC,1.0,2.0,3.0,0.3333333333333333
ABCA,38.0,5.0,43.0,0.8837209302325582
ABCB,3.0,,3.0,1.0
ABCD,10.0,2.0,12.0,0.8333333333333334
ABCE,1.0,,1.0,1.0
ABCF,2.0,,2.0,1.0
ABCG,1.0,,1.0,1.0
ABCH,1.0,,1.0,1.0
ABCJ,1.0,,1.0,1.0
ABCM,5.0,,5.0,1.0
ABCN,1.0,,1.0,1.0
ABCP,3.0,,3.0,1.0
ABCQ,1.0,,1.0,1.0
ABCS,27.0,8.0,35.0,0.7714285714285715
ABCT,6.0,1.0,7.0,0.8571428571428571
ABCU,6.0,1.0,7.0,0.8571428571428571
ABCV,3.0,,3.0,1.0
ABCW,1.0,,1.0,1.0
ABCX,1.0,,1.0,1.0
ABCY,3.0,1.0,4.0,0.75
ABCZ,1.0,,1.0,1.0
ABD,1.0,1.0,2.0,0.5
ABDA,2.0,,2.0,1.0
ABDD,,1.0,1.0,
ABDE,1.0,,1.0,1.0
ABDF,1.0,,1.0,1.0
ABDG,,1.0,1.0,
ABDI,1.0,,1.0,1.0
ABDJ,14.0,3.0,17.0,0.8235294117647058
ABDK,1.0,,1.0,1.0
ABDM,15.0,2.0,17.0,0.8823529411764706
ABDN,4.0,,4.0,1.0
ABDO,1.0,,1.0,1.0
ABDP,1.0,1.0,2.0,0.5
ABDQ,1.0,,1.0,1.0
ABDR,3.0,1.0,4.0,0.75
ABDS,,1.0,1.0,
ABDT,1.0,,1.0,1.0
ABDU,1.0,,1.0,1.0
ABDV,3.0,1.0,4.0,0.75
ABDW,1.0,,1.0,1.0
ABDX,1.0,,1.0,1.0
ABDY,5.0,2.0,7.0,0.7142857142857143
ABDZ,1.0,,1.0,1.0
ABE,1.0,,1.0,1.0
ABEB,4.0,,4.0,1.0
ABEF,2.0,,2.0,1.0
ABEG,2.0,,2.0,1.0
ABEH,3.0,1.0,4.0,0.75
ABEI,1.0,,1.0,1.0
ABEJ,1.0,,1.0,1.0
ABEK,33.0,18.0,51.0,0.6470588235294118
ABEL,1.0,,1.0,1.0
ABEM,1.0,3.0,4.0,0.25
ABEO,1.0,,1.0,1.0
ABEP,2.0,,2.0,1.0
ABEQ,,1.0,1.0,
ABER,1.0,,1.0,1.0
ABES,2.0,,2.0,1.0
ABET,1.0,,1.0,1.0
ABEV,1.0,,1.0,1.0
ABEW,1.0,,1.0,1.0
ABEX,1.0,,1.0,1.0
ABEZ,1.0,,1.0,1.0
ABF,123.0,43.0,166.0,0.7409638554216867
ABFA,2.0,3.0,5.0,0.4
ABFB,1.0,1.0,2.0,0.5
ABFC,1.0,1.0,2.0,0.5
ABFE,,1.0,1.0,
ABFG,1.0,,1.0,1.0
ABFH,2.0,,2.0,1.0
ABFI,3.0,1.0,4.0,0.75
ABFJ,,1.0,1.0,
ABFK,1.0,,1.0,1.0
ABFL,1.0,,1.0,1.0
ABFN,1.0,,1.0,1.0
ABFO,3.0,,3.0,1.0
ABFP,1.0,,1.0,1.0
ABFU,1.0,1.0,2.0,0.5
ABFX,12.0,3.0,15.0,0.8
ABFY,1.0,1.0,2.0,0.5
ABG,7.0,,7.0,1.0
ABGB,1.0,,1.0,1.0
ABGC,58.0,13.0,71.0,0.8169014084507042
ABGD,1.0,,1.0,1.0
ABGE,2.0,,2.0,1.0
ABGF,12.0,2.0,14.0,0.8571428571428571
ABGG,4.0,2.0,6.0,0.6666666666666666
ABGH,1.0,,1.0,1.0
ABGI,1.0,,1.0,1.0
ABGK,1.0,,1.0,1.0
ABGL,1.0,,1.0,1.0
ABGN,3.0,,3.0,1.0
ABGO,7.0,,7.0,1.0
ABGQ,,1.0,1.0,
ABGR,,1.0,1.0,
ABGS,,1.0,1.0,
ABGT,1.0,,1.0,1.0
ABGU,30.0,14.0,44.0,0.6818181818181818
ABGV,1.0,,1.0,1.0
ABGW,1.0,,1.0,1.0
ABGX,4.0,1.0,5.0,0.8
ABGY,2.0,,2.0,1.0
ABH,2.0,,2.0,1.0
ABHA,1.0,,1.0,1.0
ABHB,9.0,1.0,10.0,0.9
ABHD,1.0,,1.0,1.0
ABHE,,1.0,1.0,
ABHF,5.0,,5.0,1.0
ABHG,1.0,,1.0,1.0
ABHI,5.0,1.0,6.0,0.8333333333333334
ABHJ,1.0,,1.0,1.0
ABHK,2.0,,2.0,1.0
ABHL,1.0,,1.0,1.0
ABHM,12.0,6.0,18.0,0.6666666666666666
ABHN,,1.0,1.0,
ABHO,2.0,3.0,5.0,0.4
ABHQ,,1.0,1.0,
ABHR,,1.0,1.0,
ABHS,7.0,2.0,9.0,0.7777777777777778
ABHT,2.0,,2.0,1.0
ABHU,13.0,3.0,16.0,0.8125
